district_code,district_name_nfhs4,district_name_nfhs5,status,district_code_nfhs5
204,purba champaran,purba champaran,stable,204
205,sheohar,sheohar,stable,205
206,sitamarhi,sitamarhi,stable,206
207,madhubani,madhubani,stable,207
208,supaul,supaul,stable,208
209,araria,araria,stable,209
210,kishanganj,kishanganj,stable,210
211,purnia,purnia,stable,211
212,katihar,katihar,stable,212
213,madhepura,madhepura,stable,213
214,saharsa,saharsa,stable,214
215,darbhanga,darbhanga,stable,215
216,muzaffarpur,muzaffarpur,stable,216
217,gopalganj,gopalganj,stable,217
218,siwan,siwan,stable,218
219,saran,saran,stable,219
220,vaishali,vaishali,stable,220
221,samastipur,samastipur,stable,221
222,begusarai,begusarai,stable,222
223,khagaria,khagaria,stable,223
224,bhagalpur,bhagalpur,stable,224
225,banka,banka,stable,225
226,munger,munger,stable,226
227,lakhisarai,lakhisarai,stable,227
228,sheikhpura,sheikhpura,stable,228
229,nalanda,nalanda,stable,229
230,patna,patna,stable,230
231,bhojpur,bhojpur,stable,231
232,buxar,buxar,stable,232
233,kaimur (bhabua),kaimur (bhabua),stable,233
234,rohtas,rohtas,stable,234
235,aurangabad,aurangabad,stable,235
236,gaya,gaya,stable,236
237,nawada,nawada,stable,237
238,jamui,jamui,stable,238
239,jehanabad,jehanabad,stable,239
240,arwal,arwal,stable,240
241,north  district,north  district,stable,241
242,west district,west district,stable,242
243,south district,south district,stable,243
244,east district,east district,stable,244
245,tawang,tawang,stable,245
246,west kameng,west kameng,stable,246
247,east kameng,east kameng,stable,247
248,papumpare,papum pare,stable,248
249,upper subansiri,upper subansiri,stable,249
252,upper siang,upper siang,stable,252
253,changlang,changlang,stable,253
255,lower subansiri,lower subansiri,stable,255
257,dibang valley,dibang valley,stable,257
258,lower dibang valley,lower dibang valley,stable,258
260,anjaw,anjaw,stable,260
261,mon,mon,stable,261
262,mokokchung,mokokchung,stable,262
263,zunheboto,zunheboto,stable,263
264,wokha,wokha,stable,264
265,dimapur,dimapur,stable,265
266,phek,phek,stable,266
267,tuensang,tuensang,stable,267
268,longleng,longleng,stable,268
269,kiphire,kiphire,stable,269
270,kohima,kohima,stable,270
271,peren,peren,stable,271
272,senapati (excluding 3 sub-divisions),senapati,stable,272
273,tamenglong,tamenglong,stable,273
274,churachandpur,churachandpur,stable,274
275,bishnupur,bishnupur,stable,275
276,thoubal,thoubal,stable,276
277,imphal west,imphal west,stable,277
278,imphal east,imphal east,stable,278
279,ukhrul,ukhrul,stable,279
280,chandel,chandel,stable,280
281,mamit,mamit,stable,281
282,kolasib,kolasib,stable,282
283,aizawl,aizawl,stable,283
284,champhai,champhai,stable,284
285,serchhip,serchhip,stable,285
286,lunglei,lunglei,stable,286
287,lawngtlai,lawngtlai,stable,287
288,saiha,saiha,stable,288
291,dhalai,dhalai,stable,291
295,south garo hills,south garo hills,stable,295
297,ribhoi,ribhoi,stable,297
298,east khasi hills,east khasi hills,stable,298
300,kokrajhar,kokrajhar,stable,300
302,goalpara,goalpara,stable,302
303,barpeta,barpeta,stable,303
304,morigaon,morigaon,stable,304
307,lakhimpur,lakhimpur,stable,307
308,dhemaji,dhemaji,stable,308
309,tinsukia,tinsukia,stable,309
310,dibrugarh,dibrugarh,stable,310
313,golaghat,golaghat,stable,313
315,dima hasao,dima hasao,stable,315
316,cachar,cachar,stable,316
317,karimganj,karimganj,stable,317
318,hailakandi,hailakandi,stable,318
319,bongaigaon,bongaigaon,stable,319
320,chirang,chirang,stable,320
321,kamrup,kamrup,stable,321
322,kamrup metropolitan,kamrup metropolitan,stable,322
323,nalbari,nalbari,stable,323
324,baksa,baksa,stable,324
325,darrang,darrang,stable,325
326,udalguri,udalguri,stable,326
327,darjiling,darjiling,stable,327
328,jalpaiguri,jalpaiguri,stable,328
329,koch bihar,koch bihar,stable,329
330,uttar dinajpur,uttar dinajpur,stable,330
331,dakshin dinajpur,dakshin dinajpur,stable,331
332,maldah,maldah,stable,332
333,murshidabad,murshidabad,stable,333
334,birbhum,birbhum,stable,334
336,nadia,nadia,stable,336
337,north twenty four parganas,north twenty four parganas,stable,337
338,hugli,hugli,stable,338
339,bankura,bankura,stable,339
340,puruliya,puruliya,stable,340
341,haora,haora,stable,341
342,kolkata,kolkata,stable,342
343,south twenty four parganas,south twenty four parganas,stable,343
344,paschim medinipur,paschim medinipur,stable,344
345,purba medinipur,purba medinipur,stable,345
346,garhwa,garhwa,stable,346
347,chatra,chatra,stable,347
348,kodarma,kodarma,stable,348
349,giridih,giridih,stable,349
350,deoghar,deoghar,stable,350
351,godda,godda,stable,351
352,sahibganj,sahibganj,stable,352
353,pakur,pakur,stable,353
354,dhanbad,dhanbad,stable,354
355,bokaro,bokaro,stable,355
356,lohardaga,lohardaga,stable,356
357,purbi singhbhum,purbi singhbhum,stable,357
358,palamu,palamu,stable,358
359,latehar,latehar,stable,359
360,hazaribagh,hazaribagh,stable,360
361,ramgarh,ramgarh,stable,361
362,dumka,dumka,stable,362
363,jamtara,jamtara,stable,363
364,ranchi,ranchi,stable,364
365,khunti,khunti,stable,365
366,gumla,gumla,stable,366
367,simdega,simdega,stable,367
368,pashchimi singhbhum,pashchimi singhbhum,stable,368
369,saraikela kharsawan,saraikela-kharsawan,stable,369
370,bargarh,bargarh,stable,370
371,jharsuguda,jharsuguda,stable,371
372,sambalpur,sambalpur,stable,372
373,debagarh,debagarh,stable,373
374,sundargarh,sundargarh,stable,374
375,kendujhar,kendujhar,stable,375
376,mayurbhanj,mayurbhanj,stable,376
377,baleshwar,baleshwar,stable,377
378,bhadrak,bhadrak,stable,378
379,kendrapara,kendrapara,stable,379
380,jagatsinghapur,jagatsinghapur,stable,380
381,cuttack,cuttack,stable,381
382,jajapur,jajapur,stable,382
383,dhenkanal,dhenkanal,stable,383
384,anugul,anugul,stable,384
385,nayagarh,nayagarh,stable,385
386,khordha,khordha,stable,386
387,puri,puri,stable,387
388,ganjam,ganjam,stable,388
389,gajapati,gajapati,stable,389
390,kandhamal,kandhamal,stable,390
391,baudh,baudh,stable,391
392,subarnapur,subarnapur,stable,392
393,balangir,balangir,stable,393
394,nuapada,nuapada,stable,394
395,kalahandi,kalahandi,stable,395
396,rayagada,rayagada,stable,396
397,nabarangapur,nabarangapur,stable,397
398,koraput,koraput,stable,398
399,malkangiri,malkangiri,stable,399
400,korea (koriya),koriya,stable,400
402,jashpur,jashpur,stable,402
403,raigarh,raigarh,stable,403
404,korba,korba,stable,404
405,janjgir - champa,janjgir - champa,stable,405
407,kabirdham,kabeerdham,stable,407
408,rajnandgaon,rajnandgaon,stable,408
411,mahasamund,mahasamund,stable,411
412,dhamtari,dhamtari,stable,412
413,uttar bastar kanker,uttar bastar kanker,stable,413
415,narayanpur,narayanpur,stable,415
417,bijapur,bijapur,stable,417
418,sheopur,sheopur,stable,418
419,morena,morena,stable,419
