round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,district_uid
NFHS-1,4,bihar,25,Khagaria,Khagaria,25,1991,100.0,fuzzy,bihar_25
NFHS-1,4,bihar,25,Khagaria,Khagaria,25,1991,100.0,fuzzy,bihar_25
NFHS-1,4,bihar,27,Bhagalpur,Bhagalpur,27,1991,100.0,fuzzy,bihar_27
NFHS-1,4,bihar,27,Bhagalpur,Bhagalpur,27,1991,100.0,fuzzy,bihar_27
NFHS-1,4,bihar,28,Godda,Godda,28,1991,100.0,fuzzy,bihar_28
NFHS-1,4,bihar,28,Godda,Godda,28,1991,100.0,fuzzy,bihar_28
NFHS-1,4,bihar,29,Sahibganj,Sahibganj,29,1991,100.0,fuzzy,bihar_29
NFHS-1,4,bihar,29,Sahibganj,Sahibganj,29,1991,100.0,fuzzy,bihar_29
NFHS-1,4,bihar,30,Dumka,Dumka,30,1991,100.0,fuzzy,bihar_30
NFHS-1,4,bihar,30,Dumka,Dumka,30,1991,100.0,fuzzy,bihar_30
NFHS-1,4,bihar,31,Deoghar,Deoghar,31,1991,100.0,fuzzy,bihar_31
NFHS-1,4,bihar,31,Deoghar,Deoghar,31,1991,100.0,fuzzy,bihar_31
NFHS-1,4,bihar,26,Munger,Munger,26,1991,100.0,fuzzy,bihar_26
NFHS-1,4,bihar,26,Munger,Munger,26,1991,100.0,fuzzy,bihar_26
NFHS-1,4,bihar,12,Pashchim Champaran,Pashchim Champaran,12,1991,100.0,fuzzy,bihar_12
NFHS-1,4,bihar,12,Pashchim Champaran,Pashchim Champaran,12,1991,100.0,fuzzy,bihar_12
NFHS-1,5,goa,1,Goa,Goa,0,1991,100.0,fuzzy,goa_0
NFHS-1,5,goa,1,Goa,Goa,0,1991,100.0,fuzzy,goa_0
NFHS-1,6,gujarat,1,JAMNAGAR,Jamnagar,1,1991,100.0,fuzzy,gujarat_1
NFHS-1,6,gujarat,1,JAMNAGAR,Jamnagar,1,1991,100.0,fuzzy,gujarat_1
NFHS-1,6,gujarat,2,RAJKOT,Rajkot,2,1991,100.0,fuzzy,gujarat_2
NFHS-1,6,gujarat,2,RAJKOT,Rajkot,2,1991,100.0,fuzzy,gujarat_2
NFHS-1,6,gujarat,3,SURENDRANAGAR,Surendranagar,3,1991,100.0,fuzzy,gujarat_3
NFHS-1,6,gujarat,3,SURENDRANAGAR,Surendranagar,3,1991,100.0,fuzzy,gujarat_3
NFHS-1,6,gujarat,4,BHAVNAGAR,Bhavnagar,4,1991,100.0,fuzzy,gujarat_4
NFHS-1,6,gujarat,4,BHAVNAGAR,Bhavnagar,4,1991,100.0,fuzzy,gujarat_4
NFHS-1,6,gujarat,5,AMRELI,Amreli,5,1991,100.0,fuzzy,gujarat_5
NFHS-1,6,gujarat,5,AMRELI,Amreli,5,1991,100.0,fuzzy,gujarat_5
NFHS-1,6,gujarat,6,JUNAGADH,Junagadh,6,1991,100.0,fuzzy,gujarat_6
NFHS-1,6,gujarat,6,JUNAGADH,Junagadh,6,1991,100.0,fuzzy,gujarat_6
NFHS-1,6,gujarat,7,KACHCHH,Kachchh,7,1991,100.0,fuzzy,gujarat_7
NFHS-1,6,gujarat,7,KACHCHH,Kachchh,7,1991,100.0,fuzzy,gujarat_7
NFHS-1,6,gujarat,8,BANASKANTHA,Banas Kantha,8,1991,95.65217391304348,fuzzy,gujarat_8
NFHS-1,6,gujarat,8,BANASKANTHA,Banas Kantha,8,1991,95.65217391304348,fuzzy,gujarat_8
NFHS-1,6,gujarat,9,SABARKANTHA,Sabar Kantha,9,1991,95.65217391304348,fuzzy,gujarat_9
NFHS-1,6,gujarat,9,SABARKANTHA,Sabar Kantha,9,1991,95.65217391304348,fuzzy,gujarat_9
NFHS-1,6,gujarat,10,MAHESANA,Mahasana,10,1991,100.0,manual_override,gujarat_10
NFHS-1,6,gujarat,10,MAHESANA,Mahasana,10,1991,100.0,manual_override,gujarat_10
NFHS-1,6,gujarat,11,GANDHINAGAR,Gandhinagar,11,1991,100.0,fuzzy,gujarat_11
NFHS-1,6,gujarat,11,GANDHINAGAR,Gandhinagar,11,1991,100.0,fuzzy,gujarat_11
NFHS-1,6,gujarat,12,AHMADABAD,Ahmadabad,12,1991,100.0,fuzzy,gujarat_12
NFHS-1,6,gujarat,12,AHMADABAD,Ahmadabad,12,1991,100.0,fuzzy,gujarat_12
NFHS-1,6,gujarat,13,KHEDA,Kheda,13,1991,100.0,fuzzy,gujarat_13
NFHS-1,6,gujarat,13,KHEDA,Kheda,13,1991,100.0,fuzzy,gujarat_13
NFHS-1,6,gujarat,14,PANCHMAHALS,Panch Mahals,14,1991,95.65217391304348,fuzzy,gujarat_14
NFHS-1,6,gujarat,14,PANCHMAHALS,Panch Mahals,14,1991,95.65217391304348,fuzzy,gujarat_14
NFHS-1,6,gujarat,15,VADODARA,Vadodara,15,1991,100.0,fuzzy,gujarat_15
NFHS-1,6,gujarat,15,VADODARA,Vadodara,15,1991,100.0,fuzzy,gujarat_15
NFHS-1,6,gujarat,16,BHARUCH,Bharuch,16,1991,100.0,fuzzy,gujarat_16
NFHS-1,6,gujarat,16,BHARUCH,Bharuch,16,1991,100.0,fuzzy,gujarat_16
NFHS-1,6,gujarat,17,SURAT,Surat,17,1991,100.0,fuzzy,gujarat_17
NFHS-1,6,gujarat,17,SURAT,Surat,17,1991,100.0,fuzzy,gujarat_17
NFHS-1,6,gujarat,18,VALSAD,Valsad,18,1991,100.0,fuzzy,gujarat_18
NFHS-1,6,gujarat,18,VALSAD,Valsad,18,1991,100.0,fuzzy,gujarat_18
NFHS-1,7,haryana,5,KARNAL,Karnal,5,1991,100.0,fuzzy,haryana_5
NFHS-1,7,haryana,5,KARNAL,Karnal,5,1991,100.0,fuzzy,haryana_5
NFHS-1,7,haryana,7,SONIPAT,Sonipat,7,1991,100.0,fuzzy,haryana_7
NFHS-1,7,haryana,7,SONIPAT,Sonipat,7,1991,100.0,fuzzy,haryana_7
NFHS-1,7,haryana,8,ROHTAK,Rohtak,8,1991,100.0,fuzzy,haryana_8
NFHS-1,7,haryana,8,ROHTAK,Rohtak,8,1991,100.0,fuzzy,haryana_8
NFHS-1,7,haryana,1,AMBALA,Ambala,1,1991,100.0,fuzzy,haryana_1
NFHS-1,7,haryana,1,AMBALA,Ambala,1,1991,100.0,fuzzy,haryana_1
NFHS-1,7,haryana,2,YAMUNANAGAR,Yamunanagar,2,1991,100.0,fuzzy,haryana_2
NFHS-1,7,haryana,2,YAMUNANAGAR,Yamunanagar,2,1991,100.0,fuzzy,haryana_2
NFHS-1,7,haryana,3,KURUKSHETRA,Kurukshetra,3,1991,100.0,fuzzy,haryana_3
NFHS-1,7,haryana,3,KURUKSHETRA,Kurukshetra,3,1991,100.0,fuzzy,haryana_3
NFHS-1,7,haryana,9,FARIDABAD,Faridabad,9,1991,100.0,fuzzy,haryana_9
NFHS-1,7,haryana,9,FARIDABAD,Faridabad,9,1991,100.0,fuzzy,haryana_9
NFHS-1,7,haryana,10,GURGAON,Gurgaon,10,1991,100.0,fuzzy,haryana_10
NFHS-1,7,haryana,10,GURGAON,Gurgaon,10,1991,100.0,fuzzy,haryana_10
NFHS-1,7,haryana,12,MAHENDRAGARH,Mahendragarh,12,1991,100.0,fuzzy,haryana_12
NFHS-1,7,haryana,12,MAHENDRAGARH,Mahendragarh,12,1991,100.0,fuzzy,haryana_12
NFHS-1,7,haryana,4,KAITHAL,Kaithal,4,1991,100.0,fuzzy,haryana_4
NFHS-1,7,haryana,4,KAITHAL,Kaithal,4,1991,100.0,fuzzy,haryana_4
NFHS-1,7,haryana,6,PANIPAT,Panipat,6,1991,100.0,fuzzy,haryana_6
NFHS-1,7,haryana,6,PANIPAT,Panipat,6,1991,100.0,fuzzy,haryana_6
NFHS-1,7,haryana,11,REWARI,Rewari,11,1991,100.0,fuzzy,haryana_11
NFHS-1,7,haryana,11,REWARI,Rewari,11,1991,100.0,fuzzy,haryana_11
NFHS-1,8,himachal pradesh,1,Chamba,Chamba,1,1991,100.0,fuzzy,himachal pradesh_1
NFHS-1,8,himachal pradesh,1,Chamba,Chamba,1,1991,100.0,fuzzy,himachal pradesh_1
NFHS-1,8,himachal pradesh,8,Lahul & Spiti,Lahul and Spiti,8,1991,95.0,fuzzy,himachal pradesh_8
NFHS-1,8,himachal pradesh,8,Lahul & Spiti,Lahul and Spiti,8,1991,95.0,fuzzy,himachal pradesh_8
